year,pick,player_name,original_club,extracted_school,school_type,grade,games,goals
2017,48,Oskar Baker,Wilston Grange / Aspley,,unknown,C,57,23
2017,49,Jordan Houlahan,Mt Barker (SA) / Sturt,,unknown,D,0,0
2017,50,Tyler Brown,Templestowe / Marcellin College / Eastern U18,Marcellin College,other_private,C,28,4
2017,51,Kane Farrell,Castlemaine / Eaglehawk / Bendigo U18,,unknown,C+,126,51
2017,52,Brayden Crossley,Burleigh / Labrador / Southport / Queensland U18 / Gold Coast (NEAFL),,unknown,C,10,5
2017,53,Ryley Stoddart,Blackburn / Yarra Valley Grammar / Eastern U18,Yarra Valley Grammar,other_private,D,6,1
2017,54,Jack Payne,Noosa / Brisbane (NEAFL),,unknown,B,81,2
2017,55,Connor Nutting,Broadbeach / Gold Coast (NEAFL),,unknown,D,0,0
2017,56,Zac Langdon,Dampier / Guildford Grammar / Claremont,Guildford Grammar,GPS_WA,C+,56,32
2017,57,Gryan Miers,Grovedale / Geelong U18,,unknown,B+,164,114
2017,58,Jake Patmore,Swanbourne JFC / Christ Church Grammar / Claremont,Christ Church Grammar,GPS_WA,D,0,0
2017,59,Mitch Crowden,Sturt,,unknown,C,42,15
2017,60,Joel Garner,Wandin / Scotch College / Eastern U18,Scotch College,APS,D,4,0
2017,61,Dom Barry,Alice Springs Federal / East Point / St Patrick's College / North Ballarat U18,St Patrick's College,other_private,C,5,0
2017,62,Kyron Hayden,Noranda / Hale School / Subiaco,Hale School,GPS_WA,C,17,0
2017,63,Ben Miller,Kalgoorlie Railways / Subiaco,,unknown,C+,82,9
2017,64,Nick Shipley,St George / Western Sydney University,,unknown,D,6,0
2017,65,Tom North,Heathmont / Eastern U18,,unknown,D,0,0
2017,66,Brandon Zerk-Thatcher,Sturt,,unknown,B,90,0
2017,67,Dylan Moore,Rowville / Caulfield Grammar / Eastern U18,Caulfield Grammar,APS,A,138,144
2017,68,Hamish Brayshaw,Hampton Rovers / Haileybury College / Sandringham U18 / Sandringham,Haileybury College,APS,D,1,0
2017,69,Lloyd Meek,SMW Rovers / North Ballarat JFC / North Ballarat U18 / North Ballarat,,unknown,B+,90,27
2017,70,Angus Schumacher,Strathfieldsaye / Bendigo U18,,unknown,D,1,0
2017,71,Jackson Ross,South Belgrave / Haileybury College / Eastern U18,Haileybury College,APS,D,0,0
2017,72,Tristan Xerri,Caroline Springs / Lakeview SC / Western U18 / Werribee,,unknown,A,86,28
2017,73,Sam Switkowski,Lower Plenty / Northern U18 / Box Hill,,unknown,B,118,76
2017,74,Callum Porter,Rythdale-Officer-Cardinia / Beaconhills College / Gippsland U18 / Casey,Beaconhills College,unknown,D,1,0
2017,75,Scott Jones,Busselton / East Perth,,unknown,C,6,2
2017,76,Matt Guelfi,Wembley Downs JFC / Marist JFC / Claremont,,unknown,C+,124,69
2017,77,Billy Hartung,Mornington / Mount Martha / Dandenong U18,,unknown,B,13,6
2017,78,Jarrod Garlett,Palmyra JFC / South Fremantle,,unknown,C,13,5
